Quality,Slot,Item Name,Type,Brand,Core,Attribute 1,Attribute 2,Mod,Talent
Exotic,Chest,Tardigrade Armor System,E,Exotic,Armor,Explosive Resistance,Armor Regeneration,D,Ablative Nano-Plating
High End,Chest,5.11 Tactical,A,5.11 Tactical,Armor,A,A,D,A
Gearset,Chest,Aces and Eights,S,Aces and Eights,Weapon Damage,A,,O,No Limit
High End,Chest,Airaldi Holdings,A,Airaldi Holdings,Weapon Damage,A,A,O,A
Named,Chest,Pristine Example,N,Airaldi Holdings,Weapon Damage,A,A,O,Perfect Focus
High End,Chest,Alps Summit Armaments,A,Alps Summit Armaments,Skill Tier,A,A,U,A
High End,Chest,Badger Tuff,A,Badger Tuff,Armor,A,A,O,A
Named,Chest,Zero F's,N,Badger Tuff,Armor,A,A,O,Perfectly Unbreakable
High End,Chest,Ceska Vyroba s.r.o.,A,Ceska Vyroba s.r.o.,Weapon Damage,A,A,D,A
High End,Chest,China Light Industries Corporation,A,China Light Industries Corporation,Skill Tier,A,A,U,A
High End,Chest,Douglas & Harding,A,Douglas & Harding,Weapon Damage,A,A,O,A
High End,Chest,Fenris Group AB,A,Fenris Group AB,Weapon Damage,A,A,O,A
Named,Chest,Ferocious Calm,N,Fenris Group AB,Weapon Damage,A,A,O,Perfect Overwatch
Gearset,Chest,Foundry Bullwark,S,Foundry Bullwark,N/A,A,,,A
Gearset,Chest,Future Initiative,S,Future Initiative,N/A,A,,,A
High End,Chest,Gila Guard,A,Gila Guard,Armor,A,A,D,A
Named,Chest,Pointman,N,Gila Guard,Armor,A,A,D,Perfect Vanguard
High End,Chest,Golan Gear Ltd,A,Golan Gear Ltd,Armor,A,A,U,A
Named,Chest,Hunter-Killer,N,Golan Gear Ltd,Skill Tier,A,A,U,Perfect Intimidate
High End,Chest,Grupo Sombra S.A.,A,Grupo Sombra S.A.,Weapon Damage,A,A,U,A
Named,Chest,Door-Kicker's Knock,N,Grupo Sombra S.A.,Weapon Damage,A,A,U,Perfect Spark
High End,Chest,Hana-U Corporation,A,Hana-U Corporation,Skill Tier,A,A,O,A
Gearset,Chest,Hard Wired,S,Hard Wired,Skill Tier,A,,U,Positive Reinforcement
High End,Chest,Murakami Industries,A,Murakami Industries,Skill Tier,A,A,U,A
Gearset,Chest,Negotiator's Dilemma,S,Negotiator's Dilemma,Weapon Damage,A,,O,Target Rich Environment
Gearset,Chest,Ongoing Directive,S,Ongoing Directive,Skill Tier,A,,U,Parabellum Rounds
High End,Chest,Overlord Armaments,A,Overlord Armaments,Weapon Damage,A,A,O,A
High End,Chest,Petrov Defense Group,A,Petrov Defense Group,Weapon Damage,A,A,O,A
Named,Chest,Vedmedytsya Vest,N,Petrov Defense Group,Weapon Damage,A,A,O,Perfect Braced
High End,Chest,Providence Defense,A,Providence Defense,Weapon Damage,A,A,O,A
Named,Chest,The Sacrifice,N,Providence Defense,Weapon Damage,A,A,O,Perfect Glass Cannon
High End,Chest,Richter & Kaiser GmbH,A,Richter & Kaiser GmbH,Skill Tier,A,A,D,A
High End,Chest,Sokolov Concern,A,Sokolov Concern,Weapon Damage,A,A,O,A
Gearset,Chest,Striker's Battlegear,S,Striker's Battlegear,Weapon Damage,A,,O,Press the Advantage
Gearset,Chest,System Corruption,S,System Corruption,Weapon Damage,A,,D,Compiler Optimization
Gearset,Chest,Tip of the Spear,S,Tip of the Spear,Weapon Damage,A,,O,Specialized Destruction
Gearset,Chest,True Patriot,S,True Patriot,Armor,A,,D,Waving the Flag
High End,Chest,Wyvern Wear,A,Wyvern Wear,Skill Tier,A,A,U,A
High End,Chest,Yaahl Gear,A,Yaahl Gear,Armor,A,A,O,A
