Quality,Slot,Item Name,Type,Brand,Core,Attribute 1,Attribute 2,Mod,Talent
Exotic,Backpack,Acosta's Go-Bag,E,Exotic,Skill Tier,Skill Haste,Skill Damage,U,One in Hand...
Exotic,Gloves,BTSU Gloves,E,Exotic,Skill Tier,Skill Haste,Repair Skills,,Transference Overclock
Exotic,Mask,Coyote's Mask,E,Exotic,Weapon Damage,Critical Hit Chance,Critical Hit Damage,O,Pack Instincts
Exotic,Holster,Dodge City Gunslinger's Holster,E,Exotic,Weapon Damage,Weapon Handling,Headshot Damage,,Quick Draw
Exotic,Holster,Imperial Dynasty,E,Exotic,Skill Tier,Status Effects,Hazard Protection,,Dragon's Glare
Exotic,Kneepads,NinjaBike Messenger Kneepads,E,Exotic,Weapon Damage,Critical Hit Chance,Critical Hit Damage,,Parkour!
Exotic,Kneepads,Sawyer's Kneepads,E,Exotic,Armor,Explosive Resistance,Health,,Grace Under Fire
Exotic,Chest,Tardigrade Armor System,E,Exotic,Armor,Explosive Resistance,Armor Regeneration,D,Ablative Nano-Plating
High End,Backpack,5.11 Tactical,A,5.11 Tactical,Armor,A,A,D,A
High End,Chest,5.11 Tactical,A,5.11 Tactical,Armor,A,A,D,A
High End,Gloves,5.11 Tactical,A,5.11 Tactical,Armor,A,A,,
High End,Holster,5.11 Tactical,A,5.11 Tactical,Armor,A,A,,
High End,Kneepads,5.11 Tactical,A,5.11 Tactical,Armor,A,A,,
High End,Mask,5.11 Tactical,A,5.11 Tactical,Armor,A,A,D,
Named,Gloves,Deathgrips,S,5.11 Tactical,Armor,Armor on Kill,A,,
Gearset,Backpack,Aces and Eights,S,Aces and Eights,Weapon Damage,A,A,O,Poker Face
Gearset,Chest,Aces and Eights,S,Aces and Eights,Weapon Damage,A,A,O,No Limit
Gearset,Gloves,Aces and Eights,S,Aces and Eights,Weapon Damage,A,A,,
Gearset,Holster,Aces and Eights,S,Aces and Eights,Weapon Damage,A,A,,
Gearset,Kneepads,Aces and Eights,S,Aces and Eights,Weapon Damage,A,A,,
Gearset,Mask,Aces and Eights,S,Aces and Eights,Weapon Damage,A,A,O,
High End,Backpack,Airaldi Holdings,A,Airaldi Holdings,Weapon Damage,A,A,O,A
High End,Chest,Airaldi Holdings,A,Airaldi Holdings,Weapon Damage,A,A,O,A
High End,Gloves,Airaldi Holdings,A,Airaldi Holdings,Weapon Damage,A,A,,
