Quality,Slot,Item Name,Type,Brand,Core,Attribute 1,Attribute 2,Mod,Talent
Exotic,Gloves,BTSU Gloves,E,Exotic,Skill Tier,Skill Haste,Repair Skills,,Transference Overclock
High End,Gloves,5.11 Tactical,A,5.11 Tactical,Armor,A,A,,
Named,Gloves,Deathgrips,S,5.11 Tactical,Armor,Armor on Kill,A,,
Gearset,Gloves,Aces and Eights,S,Aces and Eights,Weapon Damage,A,,,
High End,Gloves,Airaldi Holdings,A,Airaldi Holdings,Weapon Damage,A,A,,
High End,Gloves,Alps Summit Armaments,A,Alps Summit Armaments,Skill Tier,A,A,,
Named,Gloves,Motherly Love,N,Alps Summit Armaments,Skill Tier,Skill Health,A,,
High End,Gloves,Badger Tuff,A,Badger Tuff,Armor,A,A,,
High End,Gloves,Ceska Vyroba s.r.o.,A,Ceska Vyroba s.r.o.,Weapon Damage,A,A,,
High End,Gloves,China Light Industries Corporation,A,China Light Industries Corporation,Skill Tier,A,A,,
High End,Gloves,Douglas & Harding,A,Douglas & Harding,Weapon Damage,A,A,,
High End,Gloves,Fenris Group AB,A,Fenris Group AB,Weapon Damage,A,A,,
Gearset,Gloves,Foundry Bullwark,S,Foundry Bullwark,N/A,A,,,
Gearset,Gloves,Future Initiative,S,Future Initiative,N/A,A,,,
High End,Gloves,Gila Guard,A,Gila Guard,Armor,A,A,,
High End,Gloves,Golan Gear Ltd,A,Golan Gear Ltd,Armor,A,A,,
High End,Gloves,Grupo Sombra S.A.,A,Grupo Sombra S.A.,Weapon Damage,A,A,,
High End,Gloves,Hana-U Corporation,A,Hana-U Corporation,Skill Tier,A,A,,
Gearset,Gloves,Hard Wired,S,Hard Wired,Skill Tier,A,,,
High End,Gloves,Murakami Industries,A,Murakami Industries,Skill Tier,A,A,,
Gearset,Gloves,Negotiator's Dilemma,S,Negotiator's Dilemma,Weapon Damage,A,,,
Gearset,Gloves,Ongoing Directive,S,Ongoing Directive,Skill Tier,A,,,
High End,Gloves,Overlord Armaments,A,Overlord Armaments,Weapon Damage,A,A,,
High End,Gloves,Petrov Defense Group,A,Petrov Defense Group,Weapon Damage,A,A,,
Named,Gloves,Contractor's Gloves,N,Petrov Defense Group,Weapon Damage,Damage to Armor,A,,
High End,Gloves,Providence Defense,A,Providence Defense,Weapon Damage,A,A,,
High End,Gloves,Richter & Kaiser GmbH,A,Richter & Kaiser GmbH,Skill Tier,A,A,,
High End,Gloves,Sokolov Concern,A,Sokolov Concern,Weapon Damage,A,A,,
Named,Gloves,Firm Handshake,N,Sokolov Concern,Weapon Damage,Status Effects,A,,
Gearset,Gloves,Striker's Battlegear,S,Striker's Battlegear,Weapon Damage,A,,,
Gearset,Gloves,System Corruption,S,System Corruption,Weapon Damage,A,,,
Gearset,Gloves,Tip of the Spear,S,Tip of the Spear,Weapon Damage,A,,,
Gearset,Gloves,True Patriot,S,True Patriot,Armor,A,,,
High End,Gloves,Wyvern Wear,A,Wyvern Wear,Skill Tier,A,A,,
High End,Gloves,Yaahl Gear,A,Yaahl Gear,Armor,A,A,,
