Quality,Slot,Item Name,Type,Brand,Core,Attribute 1,Attribute 2,Mod,Talent
Exotic,Holster,Dodge City Gunslinger's Holster,E,Exotic,Weapon Damage,Weapon Handling,Headshot Damage,,Quick Draw
Exotic,Holster,Imperial Dynasty,E,Exotic,Skill Tier,Status Effects,Hazard Protection,,Dragon's Glare
High End,Holster,5.11 Tactical,A,5.11 Tactical,Armor,A,A,,
Gearset,Holster,Aces and Eights,S,Aces and Eights,Weapon Damage,A,,,
High End,Holster,Airaldi Holdings,A,Airaldi Holdings,Weapon Damage,A,A,,
High End,Holster,Alps Summit Armaments,A,Alps Summit Armaments,Skill Tier,A,A,,
High End,Holster,Badger Tuff,A,Badger Tuff,Armor,A,A,,
Named,Holster,Ammo Dump,N,Badger Tuff,Armor,Ammo Capacity,A,,
High End,Holster,Ceska Vyroba s.r.o.,A,Ceska Vyroba s.r.o.,Weapon Damage,A,A,,
High End,Holster,China Light Industries Corporation,A,China Light Industries Corporation,Skill Tier,A,A,,
High End,Holster,Douglas & Harding,A,Douglas & Harding,Weapon Damage,A,A,,
High End,Holster,Fenris Group AB,A,Fenris Group AB,Weapon Damage,A,A,,
Gearset,Holster,Foundry Bullwark,S,Foundry Bullwark,N/A,A,,,
Gearset,Holster,Future Initiative,S,Future Initiative,N/A,A,,,
High End,Holster,Gila Guard,A,Gila Guard,Armor,A,A,,
High End,Holster,Golan Gear Ltd,A,Golan Gear Ltd,Armor,A,A,,
High End,Holster,Grupo Sombra S.A.,A,Grupo Sombra S.A.,Weapon Damage,A,A,,
High End,Holster,Hana-U Corporation,A,Hana-U Corporation,Skill Tier,A,A,,
Gearset,Holster,Hard Wired,S,Hard Wired,Skill Tier,A,,,
High End,Holster,Murakami Industries,A,Murakami Industries,Skill Tier,A,A,,
Gearset,Holster,Negotiator's Dilemma,S,Negotiator's Dilemma,Weapon Damage,A,,,
Gearset,Holster,Ongoing Directive,S,Ongoing Directive,Skill Tier,A,,,
High End,Holster,Overlord Armaments,A,Overlord Armaments,Weapon Damage,A,A,,
High End,Holster,Petrov Defense Group,A,Petrov Defense Group,Weapon Damage,A,A,,
High End,Holster,Providence Defense,A,Providence Defense,Weapon Damage,A,A,,
High End,Holster,Richter & Kaiser GmbH,A,Richter & Kaiser GmbH,Skill Tier,A,A,,
Named,Holster,Forge,N,Richter & Kaiser GmbH,Skill Tier,Shield Health,A,,
High End,Holster,Sokolov Concern,A,Sokolov Concern,Weapon Damage,A,A,,
Gearset,Holster,Striker's Battlegear,S,Striker's Battlegear,Weapon Damage,A,,,
Gearset,Holster,System Corruption,S,System Corruption,Armor,A,,,
Gearset,Holster,Tip of the Spear,S,Tip of the Spear,Weapon Damage,A,,,
Gearset,Holster,True Patriot,S,True Patriot,Armor,A,,,
High End,Holster,Wyvern Wear,A,Wyvern Wear,Skill Tier,A,A,,
Named,Holster,Claws Out,N,Wyvern Wear,Pistol Damage,Melee Damage,A,,
High End,Holster,Yaahl Gear,A,Yaahl Gear,Armor,A,A,,
High End,Holster,Improvised Holster,A,Crafted,Skill Tier,A,A,U,
