Quality,Slot,Item Name,Type,Brand,Core,Attribute 1,Attribute 2,Mod,Talent
Exotic,Kneepads,NinjaBike Messenger Kneepads,E,Exotic,Weapon Damage,Critical Hit Chance,Critical Hit Damage,,Parkour!
Exotic,Kneepads,Sawyer's Kneepads,E,Exotic,Armor,Explosive Resistance,Health,,Grace Under Fire
High End,Kneepads,5.11 Tactical,A,5.11 Tactical,Armor,A,A,,
Gearset,Kneepads,Aces and Eights,S,Aces and Eights,Weapon Damage,A,,,
High End,Kneepads,Airaldi Holdings,A,Airaldi Holdings,Weapon Damage,A,A,,
High End,Kneepads,Alps Summit Armaments,A,Alps Summit Armaments,Skill Tier,A,A,,
High End,Kneepads,Badger Tuff,A,Badger Tuff,Armor,A,A,,
High End,Kneepads,Ceska Vyroba s.r.o.,A,Ceska Vyroba s.r.o.,Weapon Damage,A,A,,
High End,Kneepads,China Light Industries Corporation,A,China Light Industries Corporation,Skill Tier,A,A,,
High End,Kneepads,Douglas & Harding,A,Douglas & Harding,Weapon Damage,A,A,,
High End,Kneepads,Fenris Group AB,A,Fenris Group AB,Weapon Damage,A,A,,
Gearset,Kneepads,Foundry Bullwark,S,Foundry Bullwark,N/A,A,,,
Gearset,Kneepads,Future Initiative,S,Future Initiative,N/A,A,,,
High End,Kneepads,Gila Guard,A,Gila Guard,Armor,A,A,,
High End,Kneepads,Golan Gear Ltd,A,Golan Gear Ltd,Armor,A,A,,
High End,Kneepads,Grupo Sombra S.A.,A,Grupo Sombra S.A.,Weapon Damage,A,A,,
High End,Kneepads,Hana-U Corporation,A,Hana-U Corporation,Skill Tier,A,A,,
Gearset,Kneepads,Hard Wired,S,Hard Wired,Skill Tier,A,,,
High End,Kneepads,Murakami Industries,A,Murakami Industries,Skill Tier,A,A,,
Named,Kneepads,Emperor's Guard,N,Murakami Industries,Skill Tier,Armor Regeneration,A,,
Gearset,Kneepads,Negotiator's Dilemma,S,Negotiator's Dilemma,Weapon Damage,A,,,
Gearset,Kneepads,Ongoing Directive,S,Ongoing Directive,Skill Tier,A,,,
High End,Kneepads,Overlord Armaments,A,Overlord Armaments,Weapon Damage,A,A,,
Named,Kneepads,Fox's Prayer,N,Overlord Armaments,Weapon Damage,Damage to TOC,A,,
High End,Kneepads,Petrov Defense Group,A,Petrov Defense Group,Weapon Damage,A,A,,
High End,Kneepads,Providence Defense,A,Providence Defense,Weapon Damage,A,A,,
High End,Kneepads,Richter & Kaiser GmbH,A,Richter & Kaiser GmbH,Skill Tier,A,A,,
High End,Kneepads,Sokolov Concern,A,Sokolov Concern,Weapon Damage,A,A,,
Gearset,Kneepads,Striker's Battlegear,S,Striker's Battlegear,Weapon Damage,A,,,
Gearset,Kneepads,System Corruption,S,System Corruption,Armor,A,,,
Gearset,Kneepads,Tip of the Spear,S,Tip of the Spear,Weapon Damage,A,,,
Gearset,Kneepads,True Patriot,S,True Patriot,Armor,A,,,
High End,Kneepads,Wyvern Wear,A,Wyvern Wear,Skill Tier,A,A,,
High End,Kneepads,Yaahl Gear,A,Yaahl Gear,Armor,A,A,,
