Quality,Slot,Item Name,Type,Brand,Core,Attribute 1,Attribute 2,Mod,Talent
Exotic,Mask,Coyote's Mask,E,Exotic,Weapon Damage,Critical Hit Chance,Critical Hit Damage,O,Pack Instincts
High End,Mask,5.11 Tactical,A,5.11 Tactical,Armor,A,A,D,
Gearset,Mask,Aces and Eights,S,Aces and Eights,Weapon Damage,A,,O,
High End,Mask,Airaldi Holdings,A,Airaldi Holdings,Weapon Damage,A,A,O,
High End,Mask,Alps Summit Armaments,A,Alps Summit Armaments,Skill Tier,A,A,U,
High End,Mask,Badger Tuff,A,Badger Tuff,Armor,A,A,O,
High End,Mask,Ceska Vyroba s.r.o.,A,Ceska Vyroba s.r.o.,Weapon Damage,A,A,D,
High End,Mask,China Light Industries Corporation,A,China Light Industries Corporation,Skill Tier,A,A,U,
High End,Mask,Douglas & Harding,A,Douglas & Harding,Weapon Damage,A,A,O,
Named,Mask,Punch Drunk,N,Douglas & Harding,Weapon Damage,Headshot Damage,O,O,
High End,Mask,Fenris Group AB,A,Fenris Group AB,Weapon Damage,A,A,O,
Gearset,Mask,Foundry Bullwark,S,Foundry Bullwark,N/A,A,,,
Gearset,Mask,Future Initiative,S,Future Initiative,N/A,A,,,
High End,Mask,Gila Guard,A,Gila Guard,Armor,A,A,D,
Named,Mask,Nightwatcher,N,Gila Guard,Armor,Pulse Haste,U,D,
High End,Mask,Golan Gear Ltd,A,Golan Gear Ltd,Armor,A,A,U,
High End,Mask,Grupo Sombra S.A.,A,Grupo Sombra S.A.,Weapon Damage,A,A,U,
High End,Mask,Hana-U Corporation,A,Hana-U Corporation,Skill Tier,A,A,O,
Gearset,Mask,Hard Wired,S,Hard Wired,Skill Tier,A,,U,
High End,Mask,Murakami Industries,A,Murakami Industries,Skill Tier,A,A,U,
Gearset,Mask,Negotiator's Dilemma,S,Negotiator's Dilemma,Weapon Damage,A,,O,
Gearset,Mask,Ongoing Directive,S,Ongoing Directive,Skill Tier,A,,U,
High End,Mask,Overlord Armaments,A,Overlord Armaments,Weapon Damage,A,A,O,
High End,Mask,Petrov Defense Group,A,Petrov Defense Group,Weapon Damage,A,A,O,
High End,Mask,Providence Defense,A,Providence Defense,Weapon Damage,A,A,O,
High End,Mask,Richter & Kaiser GmbH,A,Richter & Kaiser GmbH,Skill Tier,A,A,D,
High End,Mask,Sokolov Concern,A,Sokolov Concern,Weapon Damage,A,A,O,
Gearset,Mask,Striker's Battlegear,S,Striker's Battlegear,Weapon Damage,A,,O,
Gearset,Mask,System Corruption,S,System Corruption,Weapon Damage,A,,O,
Gearset,Mask,Tip of the Spear,S,Tip of the Spear,Weapon Damage,A,,O,
Gearset,Mask,True Patriot,S,True Patriot,Armor,A,,D,
High End,Mask,Wyvern Wear,A,Wyvern Wear,Skill Tier,A,A,U,
High End,Mask,Yaahl Gear,A,Yaahl Gear,Armor,A,A,O,
Named,Mask,The Hollow Man,N,Yaahl Gear,Armor,Damage to Health,O,O,
