Name,Stat,Val
Firewall,Burn Duration,20
Firewall,Health on Kill %,30
Firewall,Pulse Resistance,50
Gunner,Armor on Kill %,15
Gunner,Pulse Resistance,50
Technician - Damage,Skill Tier,1
Technician - Damage,Skill Damage,10
Technician - Damage,Pulse Resistance,50
Technician - Heals,Skill Tier,1
Technician - Heals,Repair Skills,10
Technician - Heals,Pulse Resistance,50
Demolitionist,Burn Resistance,20
Demolitionist,Explosive Damage,10
Demolitionist,Pulse Resistance,50
Survivalist,Outgoing Healing,15
Survivalist,Protection from Elites,10
Survivalist,Pulse Resistance,50
Sharpshooter,Headshot Damage,15
Sharpshooter,Stability,15
Sharpshooter,Pulse Resistance,50
